facility_id,component_id,facility_name,province,city,district,longitude_wgs84_deg,latitude_wgs84_deg,year,scenario_id,scenario_name_cn,scenario_order,process_type_p,process_type_confidence,size_class_z,treatment_level,wastewater_flow_m3_day,annual_wastewater_m3_year,selected_exposed_water_area_m2,exposed_water_area_source,exposed_water_area_confidence,climate_station_id,climate_station_distance_km,pev_spatial_confidence,climate_aux_confidence,annual_pev_mm_year,annual_precip_mm_year,mean_relative_humidity_fraction,mean_air_temperature_c,mean_wind_speed_10m_m_s,mean_shortwave_downward_kwh_m2_day,kp_free_water,f_sal,e_free_m_year,e_net_m_year,baseline_e_net_m_year,edi,v_net_m3_year,v_service_m3_year,electricity_price_cny_kwh,grid_factor_base_2023_kgco2_kwh,grid_factor_multiplier,grid_factor_kgco2_kwh,pond_unit_cost_cny_m3,pond_pump_sec_kwh_m3,mechanical_substitute_route,mechanical_substitute_sec_kwh_m3,mechanical_substitute_unit_cost_cny_m3,pi_electricity_kwh_m3,pi_carbon_kgco2_m3,pi_cost_gross_mechanical_cny_m3,pi_cost_cny_m3,shadow_avoided_electricity_kwh_year,shadow_avoided_carbon_tco2_year,shadow_gross_mechanical_cost_cny_year,shadow_net_cost_difference_cny_year,uec0_kwh_m3_at_20c_10k_m3d,process_temperature_factor,process_climate_factor,process_scale_factor,process_uec_kwh_m3,process_electricity_kwh_year,process_electricity_cost_cny_year,process_electricity_carbon_tco2_year,process_model_status,result_confidence,result_status
HW_CHN_45151,HW_CHN_45151::open_water,Beijing,北京市,,,116.506,40.007,2024,estimated_base,估算基准,2,medium_oxidation_sbr,medium,medium_10_100kt_d,Secondary,64900.0,23688500.0,64356.0,ridge_log_area_calibrated_from_top500_rs_labels,medium,54433,6.3587,high,medium,1886.94,855.17,0.6007103825136613,12.558825136612024,3.246612021857924,4.0347896174863385,0.75,1.0,1.415205,0.5600350000000001,0.9415898333333332,0.4052240368638927,36041.61246,36041.61246,0.65,0.5554,1.0,0.5554,80.64948427545337,0.1,MVR_equivalent_upper_bound,20.0,28.0,20.0,11.108,28.0,-52.649484275453375,720832.2492000001,400.3502312056801,1009165.14888,-1897572.308474755,0.5,1.677585554459307,1.4065513326755843,0.8294219612254382,0.5833122824560184,13817793.002959391,8981565.451923605,7674.402233843646,estimated_process_uec_without_cod_tn_or_direct_ghg,low,estimated_complete_type_i
HW_CHN_45152,HW_CHN_45152::open_water,Beijing,北京市,,,116.506,39.961,2024,estimated_base,估算基准,2,low_conventional,medium,large_gt_100kt_d,Secondary,203000.0,74095000.0,12180.0,fallback_rule_area_insufficient_rs_labels_for_scenario,low,54433,1.3258,high,medium,1886.94,855.17,0.6007103825136613,12.558825136612024,3.246612021857924,4.0347896174863385,0.75,1.0,1.415205,0.5600350000000001,0.9415898333333332,0.4052240368638927,6821.226300000001,6821.226300000001,0.65,0.5554,1.0,0.5554,80.64948427545337,0.1,MVR_equivalent_upper_bound,20.0,28.0,20.0,11.108,28.0,-52.649484275453375,136424.526,75.77018174040002,190994.33640000003,-359134.0468211591,0.35,1.677585554459307,1.4065513326755843,0.740031823776842,0.364312461784481,26993731.855921123,17545925.706348732,14992.318672778592,estimated_process_uec_without_cod_tn_or_direct_ghg,low,estimated_complete_type_i
HW_CHN_45153,HW_CHN_45153::open_water,Beijing,北京市,,,116.532,39.907,2024,estimated_base,估算基准,2,low_conventional,medium,large_gt_100kt_d,Secondary,828000.0,302220000.0,49680.0,fallback_rule_area_insufficient_rs_labels_for_scenario,low,54433,5.5052,high,medium,1886.94,855.17,0.6007103825136613,12.558825136612024,3.246612021857924,4.0347896174863385,0.75,1.0,1.415205,0.5600350000000001,0.9415898333333332,0.4052240368638927,27822.5388,27822.5388,0.65,0.5554,1.0,0.5554,80.64948427545337,0.1,MVR_equivalent_upper_bound,20.0,28.0,20.0,11.108,28.0,-52.649484275453375,556450.7760000001,309.05276099040003,779031.0864,-1464842.3190537917,0.35,1.677585554459307,1.4065513326755843,0.6429792626876752,0.31653416858564,95662956.42995211,62180921.67946888,53131.20600119541,estimated_process_uec_without_cod_tn_or_direct_ghg,low,estimated_complete_type_i
HW_CHN_45154,HW_CHN_45154::open_water,Beijing,北京市,,,116.436,39.82,2024,estimated_base,估算基准,2,low_conventional,medium,large_gt_100kt_d,Secondary,616000.0,224840000.0,36960.0,fallback_rule_area_insufficient_rs_labels_for_scenario,low,54511,3.4362,high,medium,1894.01,855.17,0.6007103825136613,12.558825136612024,3.246612021857924,4.0347896174863385,0.75,1.0,1.4205075,0.5653375,0.9230060833333334,0.3875040368549395,20894.874000000003,20894.874000000003,0.65,0.5554,1.0,0.5554,79.8936539477808,0.1,MVR_equivalent_upper_bound,20.0,28.0,20.0,11.108,28.0,-51.893653947780805,417897.4800000001,232.10026039200005,585056.4720000001,-1084311.3606384827,0.35,1.677585554459307,1.4065513326755843,0.6622804402102312,0.3260360025239356,73305934.80748169,47648857.6248631,40714.11619207534,estimated_process_uec_without_cod_tn_or_direct_ghg,low,estimated_complete_type_i
HW_CHN_45155,HW_CHN_45155::open_water,Beijing,北京市,,,116.442,40.056,2024,estimated_base,估算基准,2,medium_oxidation_sbr,medium,medium_10_100kt_d,Secondary,35800.0,13067000.0,39260.0,ridge_log_area_calibrated_from_top500_rs_labels,medium,54433,12.7801,high,medium,1886.94,855.17,0.6007103825136613,12.558825136612024,3.246612021857924,4.0347896174863385,0.75,1.0,1.415205,0.5600350000000001,0.9415898333333332,0.4052240368638927,21986.974100000003,21986.974100000003,0.65,0.5554,1.0,0.5554,80.64948427545337,0.1,MVR_equivalent_upper_bound,20.0,28.0,20.0,11.108,28.0,-52.649484275453375,439739.4820000001,244.23130830280004,615635.2748000001,-1157602.8471427509,0.5,1.677585554459307,1.4065513326755843,0.8802614793321053,0.619066478428777,8089341.673628829,5258072.087858739,4492.820365533452,estimated_process_uec_without_cod_tn_or_direct_ghg,low,estimated_complete_type_i
HW_CHN_45156,HW_CHN_45156::open_water,Beijing,北京市,,,116.053,40.214,2024,estimated_base,估算基准,2,high_pond_lagoon,low,small_lt_10kt_d,Secondary,1500.0,547500.0,7500.0,fallback_rule_area_insufficient_rs_labels_for_scenario,low,54499,13.9003,high,medium,1599.98,855.17,0.6007103825136613,12.558825136612024,3.246612021857924,4.128032786885246,0.75,1.0,1.199985,0.3448149999999998,0.7359108333333333,0.5314445930383325,2586.112499999999,2586.112499999999,0.65,0.5554,1.0,0.5554,130.94715898729334,0.1,MVR_equivalent_upper_bound,20.0,28.0,20.0,11.108,28.0,-102.94715898729334,51722.24999999998,28.726537649999987,72411.14999999997,-266232.9346965265,0.15,1.677585554459307,1.4065513326755843,1.2089013820911634,0.2550572775080522,139643.8594356586,90768.5086331781,77.55819953056479,estimated_process_uec_without_cod_tn_or_direct_ghg,low,estimated_complete_type_i
HW_CHN_45157,HW_CHN_45157::open_water,Beijing,北京市,,,116.252,40.187,2024,estimated_base,估算基准,2,medium_oxidation_sbr,medium,medium_10_100kt_d,Secondary,27300.0,9964500.0,34951.0,ridge_log_area_calibrated_from_top500_rs_labels,medium,54499,4.4595,high,medium,1599.98,855.17,0.6007103825136613,12.558825136612024,3.246612021857924,4.128032786885246,0.75,1.0,1.199985,0.3448149999999998,0.7359108333333333,0.5314445930383325,12051.629064999996,12051.629064999996,0.65,0.5554,1.0,0.5554,130.94715898729334,0.1,MVR_equivalent_upper_bound,20.0,28.0,20.0,11.108,28.0,-102.94715898729334,241032.5812999999,133.86949565401997,337445.61381999985,-1240680.97341044,0.5,1.677585554459307,1.4065513326755843,0.9044482760428896,0.6360764640021305,6338183.925549229,4119819.551606999,3520.2273522500413,estimated_process_uec_without_cod_tn_or_direct_ghg,low,estimated_complete_type_i
HW_CHN_45158,HW_CHN_45158::open_water,Beijing,北京市,,,116.43,40.06,2024,estimated_base,估算基准,2,medium_oxidation_sbr,medium,medium_10_100kt_d,Secondary,12600.0,4599000.0,37800.0,ridge_log_area_calibrated_from_top500_rs_labels,medium,54433,13.6072,high,medium,1886.94,855.17,0.6007103825136613,12.558825136612024,3.246612021857924,4.0347896174863385,0.75,1.0,1.415205,0.5600350000000001,0.9415898333333332,0.4052240368638927,21169.323000000004,21169.323000000004,0.65,0.5554,1.0,0.5554,80.64948427545337,0.1,MVR_equivalent_upper_bound,20.0,28.0,20.0,11.108,28.0,-52.649484275453375,423386.4600000001,235.14883988400004,592741.0440000001,-1114553.9384104938,0.5,1.677585554459307,1.4065513326755843,0.9771538454931674,0.6872085218037434,3160471.991775416,2054306.7946540203,1755.326144232066,estimated_process_uec_without_cod_tn_or_direct_ghg,low,estimated_complete_type_i
HW_CHN_45159,HW_CHN_45159::open_water,Beijing,北京市,,,116.452,40.126,2024,estimated_base,估算基准,2,medium_oxidation_sbr,medium,small_lt_10kt_d,Secondary,6000.0,2190000.0,18000.0,ridge_log_area_calibrated_from_top500_rs_labels,medium,54398,14.0234,high,medium,1791.39,948.23,0.6217068306010929,12.949836065573766,3.0749453551912564,4.128032786885246,0.75,1.0,1.3435425,0.3953125,0.8378835,0.5282011162649699,7115.625000000001,7115.625000000001,0.65,0.5554,1.0,0.5554,114.22817888051485,0.1,MVR_equivalent_upper_bound,20.0,28.0,20.0,11.108,28.0,-86.22817888051485,142312.50000000003,79.04036250000001,199237.50000000003,-613567.3853466635,0.5,1.6325939648648915,1.379556378918935,1.0524097791489253,0.7259293120307837,1589785.1933474164,1033360.3756758206,882.966696385155,estimated_process_uec_without_cod_tn_or_direct_ghg,low,estimated_complete_type_i
HW_CHN_45160,HW_CHN_45160::open_water,Beijing,北京市,,,116.419,40.116,2024,estimated_base,估算基准,2,medium_oxidation_sbr,medium,medium_10_100kt_d,Secondary,24700.0,9015500.0,48026.0,ridge_log_area_calibrated_from_top500_rs_labels,medium,54398,16.9167,high,medium,1791.39,948.23,0.6217068306010929,12.949836065573766,3.0749453551912564,4.128032786885246,0.75,1.0,1.3435425,0.3953125,0.8378835,0.5282011162649699,18985.278125000004,18985.278125000004,0.65,0.5554,1.0,0.5554,114.22817888051485,0.1,MVR_equivalent_upper_bound,20.0,28.0,20.0,11.108,28.0,-86.22817888051485,379705.5625000001,210.8884694125001,531587.7875000001,-1637065.9582588258,0.5,1.6325939648648915,1.379556378918935,0.9135457566253512,0.6301439379934141,5681062.672979624,3692690.737436756,3155.262208572883,estimated_process_uec_without_cod_tn_or_direct_ghg,low,estimated_complete_type_i
