year,scenario_id,scenario_name_cn,scenario_order,facility_count,mean_e_net_m_year,v_net_m3_year,v_service_m3_year,shadow_avoided_electricity_kwh_year,shadow_gross_mechanical_cost_cny_year,shadow_net_cost_difference_cny_year,shadow_avoided_carbon_tco2_year,process_electricity_kwh_year,process_electricity_cost_cny_year,process_electricity_carbon_tco2_year,nonpositive_facility_count,negative_pi_cost_facility_count,v_net_10k_m3_year,v_service_10k_m3_year,nonpositive_facility_share_pct
1984,estimated_lower,估算下界,1,2486,0.217002450474658,18261655.557216052,25953014.376718193,389295215.65077287,382806962.05659336,-228186798.33839047,173939.87182046217,9777643204.255768,4399939441.915095,4175961.1937225764,913,1256,1826.1655557216052,2595.3014376718193,36.72566371681416
1984,estimated_base,估算基准,2,2486,0.3629731757843926,30189954.1227025,34571900.8606875,691438017.21375,968013224.0992501,-1278700004.2101953,384211.16409131733,16525555109.751434,10741610821.338432,8821455.624290686,710,1705,3018.99541227025,3457.19008606875,28.559935639581656
1984,estimated_upper,估算上界,3,2486,0.4423050917135962,36672725.08220601,39738793.38907601,993469834.7269001,1887592685.9811103,-7153203672.56204,659953.7696566193,26957377222.976433,24261639500.67879,17264814.98610475,523,1946,3667.272508220601,3973.879338907601,21.037811745776345
1985,estimated_lower,估算下界,1,2486,0.1738485005551085,14510136.24945567,22204633.599527694,333069503.9929154,327518345.5930335,-235888341.00550923,150464.2357331147,9686804103.770964,4359061846.696934,4138097.897449913,1018,1284,1451.013624945567,2220.463359952769,40.949316170555115
1985,estimated_base,估算基准,2,2486,0.3146542085679807,25998751.587920003,30262217.8548575,605244357.09715,847342099.93601,-1413508441.1182122,338865.44219992054,16372361966.524286,10642035278.240788,8741642.53606437,680,1743,2599.875158792,3026.22178548575,27.353177795655668
1985,estimated_upper,估算上界,3,2486,0.3911790498793243,32242564.271868005,35221207.742272004,880530193.5568001,1673007367.7579203,-7057837558.93218,589023.1052171999,26708406657.285877,24037565991.557293,17109191.242319364,543,1931,3224.2564271868005,3522.1207742272004,21.84231697506034
1986,estimated_lower,估算下界,1,2486,0.30823195324215596,25891736.836247187,32303213.74760903,484548206.21413547,476472402.77723324,-180662849.30526423,222920.52473988727,9605495974.47832,4322473188.515244,4100088.5889677196,804,1181,2589.1736836247187,3230.321374760903,32.34111021721641
1986,estimated_base,估算基准,2,2486,0.4632983869670153,38574424.65828,42168162.3151075,843363246.30215,1180708544.82301,-1274484648.2858605,479692.01508616767,16235417470.367893,10553021355.739132,8661614.054859746,548,1818,3857.442465828,4216.81623151075,22.043443282381336
1986,estimated_upper,估算上界,3,2486,0.5475736226870476,45467189.778950006,47904977.46184601,1197624436.5461502,2275486429.4376855,-6994146946.276794,812896.1341340012,26486109667.098488,23837498700.38864,16953291.057900324,458,2017,4546.7189778950005,4790.497746184601,18.42316975060338
1987,estimated_lower,估算下界,1,2486,0.0431062364038615,3799115.8131783297,22080072.098685015,331201081.4802752,325681063.45560396,-148952758.09915245,148171.52658357145,9540056318.655598,4293025343.3950186,4073302.5279432144,1226,1059,379.911581317833,2208.0072098685014,49.316170555108606
1987,estimated_base,估算基准,2,2486,0.19386809633950122,16101821.5292975,29182264.671275,583645293.4255,817103410.7957,-814065773.3996947,324547.1813664296,16124989169.499962,10481242960.174974,8605102.82051045,1136,1281,1610.1821529297501,2918.2264671275,45.69589702333065
1987,estimated_upper,估算上界,3,2486,0.2758038897827837,22788074.635884006,33255382.621666003,831384565.54165,1579630674.5291352,-4515198925.8022375,553150.4931614837,26306719532.535557,23676047579.282,16843133.755877916,1060,1415,2278.8074635884004,3325.5382621666004,42.63877715205149
1988,estimated_lower,估算下界,1,2486,0.21525359088495563,18660183.47361925,28466851.605238352,427002774.0785753,419886061.1772657,-204900664.9557549,193155.08394633236,9533605586.083298,4290122513.737484,4067892.2943831533,890,1250,1866.018347361925,2846.6851605238353,35.80048270313757
1988,estimated_base,估算基准,2,2486,0.37198456255028156,31493103.9171425,37856927.812635,757138556.2527,1059993978.75378,-1148372643.9652843,426044.9471795222,16114063644.11376,10474141368.673944,8593695.632365346,737,1676,3149.31039171425,3785.6927812635,29.646017699115045
1988,estimated_upper,估算上界,3,2486,0.45716443845535004,38467517.201666005,43195251.97348001,1079881299.3370001,2051774468.7403002,-6154435532.3242655,727166.0354891538,26288155276.603672,23659339748.943306,16820363.901861347,673,1802,3846.7517201666005,4319.525197348001,27.071600965406272
1989,estimated_lower,估算下界,1,2486,0.12721427694288,11234745.135870649,27457802.272543494,411867034.0881524,405002583.52001655,-87167580.59282345,185220.38168693904,9483237547.081978,4267456896.18689,4043132.2795279734,1178,866,1123.4745135870648,2745.7802272543495,47.38535800482703
1989,estimated_base,估算基准,2,2486,0.27904475462590506,23648989.9699575,35061584.684705,701231693.6941,981724371.17174,-754914910.7000796,392261.9263946536,16028663797.67577,10418631468.48925,8541303.815773342,1057,1334,2364.89899699575,3506.1584684705,42.518101367658886
1989,estimated_upper,估算上界,3,2486,0.36156131858407087,30395862.162396006,39556125.794568,988903144.8642001,1878915975.2419803,-5052992873.804268,661933.9480545482,26148203084.553566,23533382776.09821,16717589.237500558,904,1565,3039.5862162396006,3955.6125794568,36.36363636363637
1990,estimated_lower,估算下界,1,2486,0.009936964078841377,1056712.7923838692,14820713.781091776,222310706.71637663,218605528.27110368,-250700746.76424342,99719.00603497871,9376131092.280758,4219258991.5263414,4000193.360858172,1250,1134,105.67127923838692,1482.0713781091777,50.2815768302494
1990,estimated_base,估算基准,2,2486,0.15799009754625903,13133774.440795,22171873.4980125,443437469.96025,620812457.94435,-1373642353.1115882,248044.03745987362,15846836395.160244,10300443656.854158,8450085.930959139,876,1558,1313.3774440795,2217.18734980125,35.23732904263878
1990,estimated_upper,估算上界,3,2486,0.23845375703942082,19697394.901888005,26746032.974234004,668650824.3558501,1270436566.2761152,-6424496923.932656,447743.22196157684,25849880350.54025,23264892315.486225,16537740.42436589,762,1722,1969.7394901888006,2674.6032974234004,30.65164923572003
1991,estimated_lower,估算下界,1,2486,0.17577217992759442,14875908.49451177,24965638.638324294,374484579.5748644,368243169.9152833,-205454676.19104436,165582.5772724675,9510093969.12179,4279542286.104806,4063367.2146061435,1006,1269,1487.590849451177,2496.5638638324294,40.46661303298472
1991,estimated_base,估算基准,2,2486,0.32613522023330654,27159178.2674175,33671174.246985,673423484.9397,942792878.91558,-1163595855.7807715,367404.1732431888,16073792345.22046,10447965024.393301,8583826.21361046,820,1575,2715.91782674175,3367.1174246985,32.984714400643604
1991,estimated_upper,估算上界,3,2486,0.4078542638777153,33834868.361388005,38777061.37486,969426534.3715001,1841910415.3058503,-6610184307.5268955,631294.837510479,26221494429.566628,23599344986.609966,16800402.15146152,644,1836,3383.4868361388008,3877.7061374860004,25.905068382944492
1992,estimated_lower,估算下界,1,2486,0.2626073936041833,21915094.87031239,30918990.030957133,463784850.46435696,456055102.9566177,-200737673.3105814,209734.08665317364,9525393452.030891,4286427053.4139013,4062674.576183974,788,1353,2191.5094870312387,3091.8990030957134,31.697506033789217
1992,estimated_base,估算基准,2,2486,0.4173186514481094,34566250.309149995,40517766.885184996,810355337.7037,1134497472.78518,-1212606250.016791,454617.5643420091,16099615751.11845,10464750238.226994,8582346.746184548,599,1823,3456.6250309149996,4051.7766885184997,24.09493161705551
1992,estimated_upper,估算上界,3,2486,0.5014008567980692,41441878.26504,46071596.854354,1151789921.35885,2188400850.5818152,-6529673424.266922,772138.2311164516,26263474580.297592,23637127122.267834,16797406.891723543,516,1959,4144.187826504,4607.1596854354,20.75623491552695
1993,estimated_lower,估算下界,1,2486,0.13718425934835063,11484255.60133855,24287218.839527436,364308282.5929115,358236477.88302964,-197580542.08396107,162152.4142452544,9589418839.464556,4315238477.75905,4096314.7974516423,1025,1208,1148.425560133855,2428.7218839527436,41.2308930008045
1993,estimated_base,估算基准,2,2486,0.2833910046259051,23433193.31216,32406479.0497225,648129580.99445,907381413.39223,-1133140106.4568315,358796.9631522404,16207809617.939184,10535076251.66047,8653349.385649346,838,1582,2343.319331216,3240.64790497225,33.7087691069992
1993,estimated_upper,估算上界,3,2486,0.3628511922767499,29927181.198476005,37205156.69267601,930128917.3169001,1767244942.9021103,-6020367883.092932,616189.0796958364,26440041337.68681,23796037203.91813,16936264.430410024,735,1742,2992.7181198476005,3720.515669267601,29.565567176186647
1994,estimated_lower,估算下界,1,2486,0.25576404144810927,21263813.73941001,31657616.15713083,474864242.35696244,466949838.31767976,-215591532.67151085,215058.57031834757,9176038953.499006,4129217529.074553,3911927.147925089,726,1499,2126.381373941001,3165.761615713083,29.20353982300885
1994,estimated_base,估算基准,2,2486,0.41192837489943684,34033116.6251975,41753345.0237,835066900.474,1169093660.6636,-1209190084.03341,468602.3647741479,15508687443.424988,10080646838.226242,8263605.5134910755,577,1851,3403.31166251975,4175.33450237,23.20997586484312
1994,estimated_upper,估算上界,3,2486,0.4968002952534192,40972955.15008201,47438617.750292,1185965443.7573001,2253334343.1388702,-6537743372.839195,795318.7372369921,25298478458.649666,22768630612.7847,16172789.65661468,513,1965,4097.295515008201,4743.8617750292005,20.63555913113435
1995,estimated_lower,估算下界,1,2486,0.32536889066773916,26950187.106538147,32834435.862812314,492516537.9421847,484307928.9764816,-210336042.7231893,221157.84277242702,9431286515.676441,4244078932.054398,4024404.438248791,697,1466,2695.0187106538147,3283.4435862812315,28.037007240547062
1995,estimated_base,估算基准,2,2486,0.48516988938053096,40019384.68587,43214697.1272175,864293942.54435,1210011519.56209,-1231317573.4204698,481625.48662552185,15940844757.123348,10361549092.130177,8501584.167781506,530,1855,4001.938468587,4321.4697127217505,21.319388576025744
1995,estimated_upper,估算上界,3,2486,0.5720182582461787,47122209.457246006,49208706.39993401,1230217659.9983501,2337413553.9968653,-6952043307.67203,819560.5584373965,26005323412.7357,23404791071.46213,16639696.987910321,412,2059,4712.220945724601,4920.870639993401,16.5728077232502
1996,estimated_lower,估算下界,1,2486,0.24805095304102961,20654511.024700888,26798055.141179454,401970827.1176918,395271313.3323969,-267094028.28341025,176507.50780916214,9581294038.540783,4311582317.343352,4094333.6887818202,774,1523,2065.4511024700887,2679.805514117945,31.134352373290426
1996,estimated_base,估算基准,2,2486,0.4013945424376508,33196310.9223575,36459402.30261,729188046.0522,1020863264.47308,-1369343503.2544744,398927.02530977695,16193850142.910988,10526002592.892143,8649029.396241482,580,1814,3319.6310922357497,3645.940230261,23.33065164923572
1996,estimated_upper,估算上界,3,2486,0.48473344971842325,40012506.518910006,42114546.643058,1052863666.0764501,2000440965.5452552,-7163493197.776004,689476.8006591089,26416731679.836494,23775058511.852844,16927442.720451605,462,2013,4001.2506518910004,4211.4546643058,18.58407079646018
1997,estimated_lower,估算下界,1,2486,0.25671678197908276,21502920.59622587,37138490.368143134,557077355.5221469,547792732.9301112,-85118405.84484126,259285.37474820172,9249295377.996092,4162182920.0982413,3938863.360166234,856,947,2150.2920596225867,3713.8490368143134,34.43282381335479
1997,estimated_base,估算基准,2,2486,0.41510222043443284,34466926.013425,46838416.528385,936768330.5677,1311475662.79478,-875090293.0059986,539893.8468287553,15632899732.233198,10161384825.95158,8320753.608802836,744,1542,3446.6926013425,4683.8416528385,29.92759452936444
1997,estimated_upper,估算上界,3,2486,0.5011812630732101,41512581.131468005,52311105.929298006,1307777648.2324502,2484777531.6416554,-5614436275.046083,900257.1049639097,25502016769.052,22951815092.146797,16285331.568157127,669,1801,4151.2581131468005,5231.110592929801,26.910699919549476
1998,estimated_lower,估算下界,1,2486,0.05691922747385344,4742968.354695348,19389536.265773915,290843043.9866087,285995659.92016524,-220199511.0634098,129406.12235789683,9124468033.187056,4106010614.9341755,3890383.1262287754,1156,1141,474.2968354695348,1938.9536265773916,46.50040225261464
