year,scenario_id,scenario_name_cn,scenario_order,candidate_count,pond_feasible_count,pond_selected_count,q_brine_m3_year,annual_electricity_kwh_year,annual_cost_cny_year,annual_carbon_tco2_year
1984,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,102412654.93054695,9728.282719300045
1984,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1984,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1985,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
1985,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1985,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1986,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,100839399.62046,9728.282719300045
1986,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1986,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1987,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,97432047.43974012,9728.282719300045
1987,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1987,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1988,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
1988,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1988,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1989,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
1989,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1989,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1990,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
1990,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1990,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1991,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,98908758.40712848,9728.282719300045
1991,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1991,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1992,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
1992,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1992,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1993,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
1993,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1993,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1994,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
1994,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1994,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1995,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,102297303.38765572,9728.282719300045
1995,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1995,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1996,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
1996,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1996,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1997,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,98267994.84473602,9728.282719300045
1997,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1997,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1998,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
1998,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
1998,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
1999,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,98689827.40786149,9728.282719300045
