province,grid_factor_2023_kgco2_kwh,source,source_url,confidence
北京市,0.5554,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
天津市,0.6796,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
河北省,0.6516,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
山西省,0.6634,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
内蒙古自治区,0.6479,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
辽宁省,0.4878,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
吉林省,0.4671,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
黑龙江省,0.5229,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
上海市,0.5737,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
江苏省,0.5827,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
浙江省,0.4974,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
安徽省,0.6553,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
福建省,0.4211,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
江西省,0.5836,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
山东省,0.6191,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
河南省,0.5897,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
湖北省,0.4044,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
湖南省,0.4976,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
广东省,0.4419,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
广西壮族自治区,0.4476,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
海南省,0.3648,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
重庆市,0.5581,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
四川省,0.1564,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
贵州省,0.5683,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
云南省,0.1333,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
陕西省,0.6335,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
甘肃省,0.4471,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
青海省,0.1796,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
宁夏回族自治区,0.6187,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
新疆维吾尔自治区,0.6021,"MEE and National Bureau of Statistics, 2023 electricity CO2 emission factors",https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,high
