facility_id,component_id,source_record_id,facility_name,province,city,district,longitude_wgs84_deg,latitude_wgs84_deg,industry,facility_status,climate_station_id,site_context_area_m2,park_company_count,high_salt_company_share,brine_per_active_company_m3_year,q_brine_base_proxy_m3_year,q_brine_m3_year,tds_mg_l,target_recovery_fraction,available_land_fraction,max_contiguous_land_area_m2,scenario_id,scenario_name_cn,scenario_order,kp_free_water,q_brine_multiplier,input_level,profile,electricity_price_cny_kwh,grid_factor_multiplier,q_brine_estimation_method,land_estimation_method,input_estimation_confidence,input_use_restriction
PILOT_S001,PILOT_S001::estimated_brine_terminal_v0,S001,宁东能源化工基地,宁夏回族自治区,银川市,灵武市,106.575556,38.15601,煤化工/火电/盐化工/新材料,candidate_unverified,53619,748049966.6666666,2131,0.2,25000.0,10655000.000000002,5327500.000000001,50000.0,0.85,0.02,14960999.333333332,estimated_favorable,有利情景,1,0.8,0.5,low,low,0.45,0.8,park_company_count * assumed_high_salt_share * assumed_brine_per_active_company,site_context_area * declared_available_land_fraction,low,synthetic_candidate_component_not_observed_facility
PILOT_S001,PILOT_S001::estimated_brine_terminal_v0,S001,宁东能源化工基地,宁夏回族自治区,银川市,灵武市,106.575556,38.15601,煤化工/火电/盐化工/新材料,candidate_unverified,53619,748049966.6666666,2131,0.2,25000.0,10655000.000000002,10655000.000000002,80000.0,0.95,0.005,3740249.833333333,estimated_base,基准情景,2,0.75,1.0,base,base,0.65,1.0,park_company_count * assumed_high_salt_share * assumed_brine_per_active_company,site_context_area * declared_available_land_fraction,low,synthetic_candidate_component_not_observed_facility
PILOT_S001,PILOT_S001::estimated_brine_terminal_v0,S001,宁东能源化工基地,宁夏回族自治区,银川市,灵武市,106.575556,38.15601,煤化工/火电/盐化工/新材料,candidate_unverified,53619,748049966.6666666,2131,0.2,25000.0,10655000.000000002,21310000.000000004,120000.0,0.98,0.001,748049.9666666667,estimated_stress,压力情景,3,0.7,2.0,high,high,0.9,1.2,park_company_count * assumed_high_salt_share * assumed_brine_per_active_company,site_context_area * declared_available_land_fraction,low,synthetic_candidate_component_not_observed_facility
PILOT_S002,PILOT_S002::estimated_brine_terminal_v0,S002,柯桥滨海工业区(化纤纺织印染工业园),浙江省,绍兴市,柯桥区,120.627692,30.15258,印染/化纤/纺织染整,candidate_unverified,58453,35074799.99999999,1423,0.25,40000.0,14230000.0,7115000.0,10000.0,0.7,0.02,701495.9999999999,estimated_favorable,有利情景,1,0.8,0.5,low,low,0.45,0.8,park_company_count * assumed_high_salt_share * assumed_brine_per_active_company,site_context_area * declared_available_land_fraction,low,synthetic_candidate_component_not_observed_facility
PILOT_S002,PILOT_S002::estimated_brine_terminal_v0,S002,柯桥滨海工业区(化纤纺织印染工业园),浙江省,绍兴市,柯桥区,120.627692,30.15258,印染/化纤/纺织染整,candidate_unverified,58453,35074799.99999999,1423,0.25,40000.0,14230000.0,14230000.0,25000.0,0.85,0.005,175373.99999999997,estimated_base,基准情景,2,0.75,1.0,base,base,0.65,1.0,park_company_count * assumed_high_salt_share * assumed_brine_per_active_company,site_context_area * declared_available_land_fraction,low,synthetic_candidate_component_not_observed_facility
PILOT_S002,PILOT_S002::estimated_brine_terminal_v0,S002,柯桥滨海工业区(化纤纺织印染工业园),浙江省,绍兴市,柯桥区,120.627692,30.15258,印染/化纤/纺织染整,candidate_unverified,58453,35074799.99999999,1423,0.25,40000.0,14230000.0,28460000.0,50000.0,0.95,0.001,35074.799999999996,estimated_stress,压力情景,3,0.7,2.0,high,high,0.9,1.2,park_company_count * assumed_high_salt_share * assumed_brine_per_active_company,site_context_area * declared_available_land_fraction,low,synthetic_candidate_component_not_observed_facility
PILOT_S003,PILOT_S003::estimated_brine_terminal_v0,S003,盐城滨海化工园区(江苏滨海经济开发区),江苏省,盐城市,滨海县,120.05687,34.297397,化工/农药/精细化工,candidate_unverified,58049,21963320.0,247,0.25,32000.0,1976000.0,988000.0,30000.0,0.75,0.02,439266.4,estimated_favorable,有利情景,1,0.8,0.5,low,low,0.45,0.8,park_company_count * assumed_high_salt_share * assumed_brine_per_active_company,site_context_area * declared_available_land_fraction,low,synthetic_candidate_component_not_observed_facility
PILOT_S003,PILOT_S003::estimated_brine_terminal_v0,S003,盐城滨海化工园区(江苏滨海经济开发区),江苏省,盐城市,滨海县,120.05687,34.297397,化工/农药/精细化工,candidate_unverified,58049,21963320.0,247,0.25,32000.0,1976000.0,1976000.0,60000.0,0.9,0.005,109816.6,estimated_base,基准情景,2,0.75,1.0,base,base,0.65,1.0,park_company_count * assumed_high_salt_share * assumed_brine_per_active_company,site_context_area * declared_available_land_fraction,low,synthetic_candidate_component_not_observed_facility
PILOT_S003,PILOT_S003::estimated_brine_terminal_v0,S003,盐城滨海化工园区(江苏滨海经济开发区),江苏省,盐城市,滨海县,120.05687,34.297397,化工/农药/精细化工,candidate_unverified,58049,21963320.0,247,0.25,32000.0,1976000.0,3952000.0,100000.0,0.97,0.001,21963.32,estimated_stress,压力情景,3,0.7,2.0,high,high,0.9,1.2,park_company_count * assumed_high_salt_share * assumed_brine_per_active_company,site_context_area * declared_available_land_fraction,low,synthetic_candidate_component_not_observed_facility
PILOT_S004,PILOT_S004::estimated_brine_terminal_v0,S004,江阴利港化工园区,江苏省,无锡市,江阴市,120.098444,31.930611,精细化工/石化配套,candidate_unverified,58351,2931153.333333333,44,0.25,32000.0,352000.0,176000.0,20000.0,0.7,0.02,58623.06666666666,estimated_favorable,有利情景,1,0.8,0.5,low,low,0.45,0.8,park_company_count * assumed_high_salt_share * assumed_brine_per_active_company,site_context_area * declared_available_land_fraction,low,synthetic_candidate_component_not_observed_facility
