facility_id,facility_name,scenario_id,scenario_name_cn,scenario_order,analysis_year_count,pond_feasible_year_count,pond_selected_year_count,first_pond_selected_year,last_pond_selected_year,selected_route_change_count
PILOT_S001,宁东能源化工基地,estimated_favorable,有利情景,1,41,39,24,1984.0,2023.0,17
PILOT_S002,柯桥滨海工业区(化纤纺织印染工业园),estimated_favorable,有利情景,1,41,0,0,,,0
PILOT_S003,盐城滨海化工园区(江苏滨海经济开发区),estimated_favorable,有利情景,1,41,0,0,,,0
PILOT_S004,江阴利港化工园区,estimated_favorable,有利情景,1,41,0,0,,,0
PILOT_S005,苏州市大庄电镀工业园,estimated_favorable,有利情景,1,41,0,0,,,0
PILOT_S006,达拉特经济开发区,estimated_favorable,有利情景,1,41,0,0,,,0
PILOT_S001,宁东能源化工基地,estimated_base,基准情景,2,41,0,0,,,0
PILOT_S002,柯桥滨海工业区(化纤纺织印染工业园),estimated_base,基准情景,2,41,0,0,,,0
PILOT_S003,盐城滨海化工园区(江苏滨海经济开发区),estimated_base,基准情景,2,41,0,0,,,0
PILOT_S004,江阴利港化工园区,estimated_base,基准情景,2,41,0,0,,,0
PILOT_S005,苏州市大庄电镀工业园,estimated_base,基准情景,2,41,0,0,,,0
PILOT_S006,达拉特经济开发区,estimated_base,基准情景,2,41,0,0,,,0
PILOT_S001,宁东能源化工基地,estimated_stress,压力情景,3,41,0,0,,,0
PILOT_S002,柯桥滨海工业区(化纤纺织印染工业园),estimated_stress,压力情景,3,41,0,0,,,0
PILOT_S003,盐城滨海化工园区(江苏滨海经济开发区),estimated_stress,压力情景,3,41,0,0,,,0
PILOT_S004,江阴利港化工园区,estimated_stress,压力情景,3,41,0,0,,,0
PILOT_S005,苏州市大庄电镀工业园,estimated_stress,压力情景,3,41,0,0,,,0
PILOT_S006,达拉特经济开发区,estimated_stress,压力情景,3,41,0,0,,,0
