ledger_id,ledger_name_cn,year,scenario_id,scenario_name_cn,carbon_tco2_year,carbon_10k_tco2_year
type_i_process,类型I过程电力碳排,1984,estimated_base,估算基准,8821455.624290686,882.1455624290686
type_i_process,类型I过程电力碳排,1985,estimated_base,估算基准,8741642.53606437,874.164253606437
type_i_process,类型I过程电力碳排,1986,estimated_base,估算基准,8661614.054859748,866.1614054859748
type_i_process,类型I过程电力碳排,1987,estimated_base,估算基准,8605102.82051045,860.5102820510451
type_i_process,类型I过程电力碳排,1988,estimated_base,估算基准,8593695.632365346,859.3695632365346
type_i_process,类型I过程电力碳排,1989,estimated_base,估算基准,8541303.815773342,854.1303815773342
type_i_process,类型I过程电力碳排,1990,estimated_base,估算基准,8450085.930959139,845.0085930959139
type_i_process,类型I过程电力碳排,1991,estimated_base,估算基准,8583826.213610461,858.3826213610461
type_i_process,类型I过程电力碳排,1992,estimated_base,估算基准,8582346.746184548,858.2346746184548
type_i_process,类型I过程电力碳排,1993,estimated_base,估算基准,8653349.385649346,865.3349385649345
type_i_process,类型I过程电力碳排,1994,estimated_base,估算基准,8263605.5134910755,826.3605513491076
type_i_process,类型I过程电力碳排,1995,estimated_base,估算基准,8501584.167781506,850.1584167781506
type_i_process,类型I过程电力碳排,1996,estimated_base,估算基准,8649029.396241482,864.9029396241482
type_i_process,类型I过程电力碳排,1997,estimated_base,估算基准,8320753.608802836,832.0753608802836
type_i_process,类型I过程电力碳排,1998,estimated_base,估算基准,8218214.715359592,821.8214715359592
type_i_process,类型I过程电力碳排,1999,estimated_base,估算基准,8297355.683908546,829.7355683908546
type_i_process,类型I过程电力碳排,2000,estimated_base,估算基准,8465540.629519438,846.5540629519438
type_i_process,类型I过程电力碳排,2001,estimated_base,估算基准,8451664.462163161,845.1664462163161
type_i_process,类型I过程电力碳排,2002,estimated_base,估算基准,8335923.787868144,833.5923787868144
type_i_process,类型I过程电力碳排,2003,estimated_base,估算基准,8580723.851746993,858.0723851746993
type_i_process,类型I过程电力碳排,2004,estimated_base,估算基准,8434004.852371067,843.4004852371066
type_i_process,类型I过程电力碳排,2005,estimated_base,估算基准,8558117.392963713,855.8117392963713
type_i_process,类型I过程电力碳排,2006,estimated_base,估算基准,8327275.037624701,832.7275037624701
type_i_process,类型I过程电力碳排,2007,estimated_base,估算基准,8289478.537520475,828.9478537520474
type_i_process,类型I过程电力碳排,2008,estimated_base,估算基准,8570209.275090562,857.0209275090563
type_i_process,类型I过程电力碳排,2009,estimated_base,估算基准,8488374.938597515,848.8374938597515
type_i_process,类型I过程电力碳排,2010,estimated_base,估算基准,8673102.048505537,867.3102048505538
type_i_process,类型I过程电力碳排,2011,estimated_base,估算基准,8693893.992322404,869.3893992322404
type_i_process,类型I过程电力碳排,2012,estimated_base,估算基准,8702447.858367644,870.2447858367644
type_i_process,类型I过程电力碳排,2013,estimated_base,估算基准,8452908.875644179,845.2908875644179
type_i_process,类型I过程电力碳排,2014,estimated_base,估算基准,8339097.373187746,833.9097373187745
type_i_process,类型I过程电力碳排,2015,estimated_base,估算基准,8372185.615113909,837.2185615113909
type_i_process,类型I过程电力碳排,2016,estimated_base,估算基准,8343080.534351165,834.3080534351166
type_i_process,类型I过程电力碳排,2017,estimated_base,估算基准,8258167.901882374,825.8167901882374
type_i_process,类型I过程电力碳排,2018,estimated_base,估算基准,8313698.139406651,831.3698139406652
type_i_process,类型I过程电力碳排,2019,estimated_base,估算基准,8187927.607321661,818.7927607321661
type_i_process,类型I过程电力碳排,2020,estimated_base,估算基准,8332879.055347857,833.2879055347858
type_i_process,类型I过程电力碳排,2021,estimated_base,估算基准,8244830.702305555,824.4830702305555
