year,scenario_id,scenario_name_cn,carbon_tco2_year,ledger_id,ledger_name_cn
1984,estimated_base,估算基准,384211.1640913174,type_i_shadow_avoided,类型I影子避免碳（非排放）
1985,estimated_base,估算基准,338865.44219992054,type_i_shadow_avoided,类型I影子避免碳（非排放）
1986,estimated_base,估算基准,479692.01508616767,type_i_shadow_avoided,类型I影子避免碳（非排放）
1987,estimated_base,估算基准,324547.1813664296,type_i_shadow_avoided,类型I影子避免碳（非排放）
1988,estimated_base,估算基准,426044.9471795222,type_i_shadow_avoided,类型I影子避免碳（非排放）
1989,estimated_base,估算基准,392261.9263946536,type_i_shadow_avoided,类型I影子避免碳（非排放）
1990,estimated_base,估算基准,248044.03745987365,type_i_shadow_avoided,类型I影子避免碳（非排放）
1991,estimated_base,估算基准,367404.1732431888,type_i_shadow_avoided,类型I影子避免碳（非排放）
1992,estimated_base,估算基准,454617.56434200914,type_i_shadow_avoided,类型I影子避免碳（非排放）
1993,estimated_base,估算基准,358796.9631522404,type_i_shadow_avoided,类型I影子避免碳（非排放）
1994,estimated_base,估算基准,468602.3647741479,type_i_shadow_avoided,类型I影子避免碳（非排放）
1995,estimated_base,估算基准,481625.48662552185,type_i_shadow_avoided,类型I影子避免碳（非排放）
1996,estimated_base,估算基准,398927.02530977695,type_i_shadow_avoided,类型I影子避免碳（非排放）
1997,estimated_base,估算基准,539893.8468287553,type_i_shadow_avoided,类型I影子避免碳（非排放）
1998,estimated_base,估算基准,304977.4526157823,type_i_shadow_avoided,类型I影子避免碳（非排放）
1999,estimated_base,估算基准,436608.4140981939,type_i_shadow_avoided,类型I影子避免碳（非排放）
2000,estimated_base,估算基准,377375.9219836581,type_i_shadow_avoided,类型I影子避免碳（非排放）
2001,estimated_base,估算基准,450627.7569777993,type_i_shadow_avoided,类型I影子避免碳（非排放）
2002,estimated_base,估算基准,443484.58395188453,type_i_shadow_avoided,类型I影子避免碳（非排放）
2003,estimated_base,估算基准,318173.106878567,type_i_shadow_avoided,类型I影子避免碳（非排放）
2004,estimated_base,估算基准,465780.5754863682,type_i_shadow_avoided,类型I影子避免碳（非排放）
2005,estimated_base,估算基准,389173.58760568337,type_i_shadow_avoided,类型I影子避免碳（非排放）
2006,estimated_base,估算基准,451724.3266858355,type_i_shadow_avoided,类型I影子避免碳（非排放）
2007,estimated_base,估算基准,417451.5262378273,type_i_shadow_avoided,类型I影子避免碳（非排放）
2008,estimated_base,估算基准,392021.0056456303,type_i_shadow_avoided,类型I影子避免碳（非排放）
2009,estimated_base,估算基准,438561.0141776802,type_i_shadow_avoided,类型I影子避免碳（非排放）
2010,estimated_base,估算基准,362466.39588276885,type_i_shadow_avoided,类型I影子避免碳（非排放）
2011,estimated_base,估算基准,464780.734855346,type_i_shadow_avoided,类型I影子避免碳（非排放）
2012,estimated_base,估算基准,377927.07474500587,type_i_shadow_avoided,类型I影子避免碳（非排放）
2013,estimated_base,估算基准,442156.8159549141,type_i_shadow_avoided,类型I影子避免碳（非排放）
2014,estimated_base,估算基准,417113.5689881686,type_i_shadow_avoided,类型I影子避免碳（非排放）
2015,estimated_base,估算基准,370087.5772765438,type_i_shadow_avoided,类型I影子避免碳（非排放）
2016,estimated_base,估算基准,315596.60304867727,type_i_shadow_avoided,类型I影子避免碳（非排放）
2017,estimated_base,估算基准,399329.3465911017,type_i_shadow_avoided,类型I影子避免碳（非排放）
2018,estimated_base,估算基准,354489.3889842357,type_i_shadow_avoided,类型I影子避免碳（非排放）
2019,estimated_base,估算基准,467413.90721172426,type_i_shadow_avoided,类型I影子避免碳（非排放）
2020,estimated_base,估算基准,270349.8385782913,type_i_shadow_avoided,类型I影子避免碳（非排放）
2021,estimated_base,估算基准,201686.5284369673,type_i_shadow_avoided,类型I影子避免碳（非排放）
2022,estimated_base,估算基准,342726.6033237244,type_i_shadow_avoided,类型I影子避免碳（非排放）
2023,estimated_base,估算基准,330276.22411693085,type_i_shadow_avoided,类型I影子避免碳（非排放）
2024,estimated_base,估算基准,246306.62812314776,type_i_shadow_avoided,类型I影子避免碳（非排放）
1984,estimated_lower,估算下界,173939.87182046217,type_i_shadow_avoided,类型I影子避免碳（非排放）
1985,estimated_lower,估算下界,150464.2357331147,type_i_shadow_avoided,类型I影子避免碳（非排放）
1986,estimated_lower,估算下界,222920.52473988727,type_i_shadow_avoided,类型I影子避免碳（非排放）
1987,estimated_lower,估算下界,148171.52658357145,type_i_shadow_avoided,类型I影子避免碳（非排放）
1988,estimated_lower,估算下界,193155.08394633236,type_i_shadow_avoided,类型I影子避免碳（非排放）
1989,estimated_lower,估算下界,185220.38168693904,type_i_shadow_avoided,类型I影子避免碳（非排放）
1990,estimated_lower,估算下界,99719.00603497871,type_i_shadow_avoided,类型I影子避免碳（非排放）
1991,estimated_lower,估算下界,165582.5772724675,type_i_shadow_avoided,类型I影子避免碳（非排放）
1992,estimated_lower,估算下界,209734.08665317364,type_i_shadow_avoided,类型I影子避免碳（非排放）
1993,estimated_lower,估算下界,162152.4142452544,type_i_shadow_avoided,类型I影子避免碳（非排放）
1994,estimated_lower,估算下界,215058.57031834757,type_i_shadow_avoided,类型I影子避免碳（非排放）
1995,estimated_lower,估算下界,221157.84277242702,type_i_shadow_avoided,类型I影子避免碳（非排放）
